establishment_id,establishment_number,EstNumber_0,EstNumber_1,EstNumber_2,EstNumber_3,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code,Establishment Number,Modified Line Speed Flag,load_date,modified_line_speed_flag,est_status,LatestMPIActiveDate,standardized_name,company_name,grant_date_key,inspection_system_npis,inspection_system_npis_waiver,inspection_system_nsis,slaughter,processing,meat_slaughter,poultry_slaughter,young_chicken_slaughter,young_turkey_slaughter,meat_processing,poultry_processing,egg_processing,processing_volume_category,slaughter_volume_category,listeria_alternative,young_chicken_carcasses_category,young_turkey_carcasses_category,comminuted_chicken_category,comminuted_turkey_category,chicken_parts_category,category_start_date,category_end_date
8207,G1253,G1253,,,,Cort Acres Breaker Plant,,4887 E. County Rd. 800 N ,Seymour,IN,47274,(812) 522-3964,2021-04-13,Egg Product,,50,5023,Small,38.991805011868,-85.94800196865,Jackson County,18071,,N,2026-08-24,N,Active,,Cort Acres Breaker Plant,Cort Acres Breaker Plant,20210413,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
123621,G1256+V1256,G1256,V1256,,,Newburgh Egg Corp,,17 Novogrodsky Road ,Woodridge,NY,12789,(845) 434-8115,2021-09-21,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,60,6027,Small,41.710161195002,-74.569566144873,Sullivan County,36105,,N,2026-08-24,N,Active,,Newburgh Egg Corp,Newburgh Egg Corp,20210921,,,,,Yes,,,,,,,Yes,5,,Alternative 3,,,,,,,
124266,G1264,G1264,,,,National Food NW LLC,118319209,16900 51st Ave. NE ,Arlington,WA,98223,(425) 349-4257,2021-11-24,Egg Product,Pacific Egg Products,15,1530,Small,48.14885498404,-122.16272098113,Snohomish County,53061,,N,2026-08-24,N,Active,,National Food NW LLC,Pacific Egg Products,20211124,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
124269,G1349,G1349,,,,Papetti's Hygrade Egg Products Inc.,007266158,847 North Avenue ,Elizabeth,NJ,07201,(908) 282-7900,2020-02-28,Egg Product,Michael Foods; Michael Foods Egg Products Company,80,8020,Small,40.676196986193,-74.19371003946,Union County,34039,,N,2026-08-24,N,Active,,Papetti's Hygrade Egg Products Inc.,Michael Foods,20200228,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126718,G1415,G1415,,,,Nulaid Foods Inc.,,200 W. 5th Street ,Ripon,CA,95366,(209) 599-2200,2022-02-28,Egg Product,,05,0509,Small,37.732368990654,-121.125177993032,San Joaquin County,06077,,N,2026-08-24,N,Active,,Nulaid Foods Inc.,Nulaid Foods Inc.,20220228,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126622,G1450A,G1450A,,,,Wilcox Farms Inc.,,40400 Harts Lake Valley Road ,Roy,WA,98580,(360) 458-6966,2019-12-05,Egg Product,,15,1527,Small,46.88712198608,-122.475881037524,Pierce County,53053,,N,2026-08-24,N,Active,,Wilcox Farms Inc.,Wilcox Farms Inc.,20191205,,,,,Yes,,,,,,,Yes,4,,,,,,,,,
126739,G1455+V1455,G1455,V1455,,,M.G. Waldbaum Company,,120 Tower Street ,Gaylord,MN,55334,(507) 237-4600,2021-10-16,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Products Company,25,2507,Large,44.556784007958,-94.19723302787,Sibley County,27143,,N,2026-08-24,N,Active,,M.G. Waldbaum Company,Michael Foods Egg Products Company,20211016,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8208,G1486,G1486,,,,Pulaski County Breaker Plant,,8596 W. 700 South ,Francesville,IN,47946,(219) 335-2087,2017-09-26,Egg Product,,50,5033,Small,40.963167995663,-86.766453993864,Pulaski County,18131,,N,2026-08-24,N,Active,,Pulaski County Breaker Plant,Pulaski County Breaker Plant,20170926,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126735,G1547,G1547,,,,"ISE Newberry, Inc.",,2063 Alexander Street ,Newberry,SC,29108,(803) 276-5803,2021-09-22,Egg Product,,85,8521,Small,34.281866012272,-81.634412995369,Newberry County,45071,,N,2026-08-24,N,Active,,"ISE Newberry, Inc.","ISE Newberry, Inc.",20210922,,,,,Yes,,,,,,,Yes,5,,Alternative 2 Choice 1,,,,,,,
8558,G1579,G1579,,,,"Wabash Valley Produce, Inc",,4878 E. 450 North ,Dubois,IN,47527,(812) 678-3471,2021-10-18,Egg Product,,50,5007,Small,38.450109985778,-86.792657136025,Dubois County,18037,,N,2026-08-24,N,Active,,"Wabash Valley Produce, Inc","Wabash Valley Produce, Inc",20211018,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6168132,G1579A,G1579A,,,,"Wabash Valley Foods, LLC.",016259947,4897 East 450 North ,Dubois,IN,47527,(812) 678-0222,2025-11-12,Egg Product,,50,5007,N / A,38.442226728166,-86.739285330706,Dubois County,18037,,N,2026-08-24,N,Active,,"Wabash Valley Foods, LLC.","Wabash Valley Foods, LLC.",20251112,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8206,G1602+V1602,G1602,V1602,,,"Cal-Maine Foods, Inc.-Indiana Egg Products",,6500 W. Crystal Lake Rd. ,Warsaw,IN,46580,(574) 858-2514,2021-08-24,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5033,Small,41.233302988686,-85.967104996539,Kosciusko County,18085,,N,2026-08-24,N,Active,,"Cal-Maine Foods, Inc.-Indiana Egg Products","Cal-Maine Foods, Inc.-Indiana Egg Products",20210824,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126621,G1606,G1606,,,,Willamette Egg Farms,,31348 S. Highway 170 ,Canby,OR,97013,(503) 651-0000,2019-12-20,Egg Product,Willamette Egg Farms,15,1504,Small,45.153216014222,-122.680686974284,Clackamas County,41005,,N,2026-08-24,N,Active,,Willamette Egg Farms,Willamette Egg Farms,20191220,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
124271,G1610,G1610,,,,"Papetti's Hygrade Egg Products, Inc.",007266158,847 North Avenue  ,Elizabeth,NJ,07206,(908) 282-7900,2019-12-06,Egg Product,"Michael Foods Egg Products Company; Michael Foods, Inc.",80,8020,Small,40.676207002567,-74.192887020387,Union County,34039,,N,2026-08-24,N,Active,,"Papetti's Hygrade Egg Products, Inc.",Michael Foods Egg Products Company,20191206,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126729,G1612+V1612,G1612,V1612,,,Marshall Egg Products Company,,123 N. Miami Avenue ,Marshall,MO,65340,(660) 631-7849,2020-08-04,Certification - Export; Egg Product,,35,3508,Small,39.122185012848,-93.210066032228,Saline County,29195,,N,2026-08-24,N,Active,,Marshall Egg Products Company,Marshall Egg Products Company,20200804,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8302,G1616,G1616,,,,"Papetti's Hygrade Egg Products, Inc.",007266158,68 Spain Road ,Klingerstown,PA,17941,(570) 425-2910,2025-04-16,Egg Product,"Michael Foods Egg Products Company; Michael Foods, Inc.",60,6040,Small,40.660362984361,-76.696814967644,Schuylkill County,42107,,N,2026-08-24,N,Active,,"Papetti's Hygrade Egg Products, Inc.",Michael Foods Egg Products Company,20250416,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126620,G1620+V1620,G1620,V1620,,,"Deb El Food Products, LLC",,64 Kutger Road ,Thompsonville,NY,12784,(908) 351-0330,2021-09-21,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,60,6027,Large,41.671115021068,-74.609827191853,Sullivan County,36105,,N,2026-08-24,N,Active,,"Deb El Food Products, LLC","Deb El Food Products, LLC",20210921,,,,,Yes,,,,,,,Yes,5,,Alternative 3,,,,,,,
126619,G1634,G1634,,,,"Taylor Egg Products, Inc.",,242 Littleworth Road ,Dover,NH,03820,(603) 742-1050,2021-10-25,Egg Product,,60,6025,Small,43.193354096673,-70.934695401827,Strafford County,33017,,N,2026-08-24,N,Active,,"Taylor Egg Products, Inc.","Taylor Egg Products, Inc.",20211025,,,,,Yes,,,,,,,Yes,4,,,,,,,,,
126665,G1671,G1671,,,,"Sweet Additions Ingredient Processors, LLC",,612 South 8th Street ,Cameron,WI,54822,(715) 458-4436,2013-04-24,,,25,2522,,45.40198901,-91.744417,Barron County,55005,,N,2026-08-24,N,Inactive,2024-09-13,"Sweet Additions Ingredient Processors, LLC","Sweet Additions Ingredient Processors, LLC",20130424,,,,,,,,,,,,,,,,,,,,,,
126667,G1673,G1673,,,,"Perham Egg, LLC",,515 4th Street NE ,Perham,MN,56573,(218) 346-2500,2021-12-07,Egg Product,,25,2503,Small,46.593993001894,-95.563794968447,Otter Tail County,27111,,N,2026-08-24,N,Active,,"Perham Egg, LLC","Perham Egg, LLC",20211207,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8401,G1704B,G1704B,,,,Herbruck's Poultry Ranch,,478 Portland Road ,Lake Odessa,MI,48849,,2015-04-15,Egg Product,,50,5034,Small,42.871646847859,-85.084427346792,Ionia County,26067,,N,2026-08-24,N,Active,,Herbruck's Poultry Ranch,Herbruck's Poultry Ranch,20150415,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126668,G1798,G1798,,,,"Daybreak Foods, Inc.",,609 Sixth St. NE ,Long Prairie,MN,56347,(320) 732-2966,2022-04-26,Egg Product,,25,2503,Small,45.981456006868,-94.856542970453,Todd County,27153,,N,2026-08-24,N,Active,,"Daybreak Foods, Inc.","Daybreak Foods, Inc.",20220426,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
8203,G1953+V1953,G1953,V1953,,,Pearl Valley Specialty Egg Products,93000793,2125 IL Rte 78 South ,Stockton,IL,61085,(815) 821-0022,2014-04-09,Certification - Export,FOFI,50,5005,Small,42.34020099,-90.00759597,Jo Daviess County,17085,,N,2026-08-24,N,Inactive,2024-12-19,Pearl Valley Specialty Egg Products,FOFI,20140409,,,,,,,,,,,,,,,,,,,,,,
126725,G20729,G20729,,,,"Daybreak Foods, Inc.",,4768 280th Street ,Graettinger,IA,51342,(712) 209-2530,2021-11-12,Egg Product,,25,2515,Small,43.239613018576,-94.646916014444,Palo Alto County,19147,,N,2026-08-24,N,Active,,"Daybreak Foods, Inc.","Daybreak Foods, Inc.",20211112,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126695,G20813+V20813,G20813,V20813,,,Sunrise Farms Inc.,,2060 White Ave. ,Harris,IA,51345,(712) 735-6010,2021-08-31,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,25,2525,Small,43.35196400683,-95.443455984557,Osceola County,19143,,N,2026-08-24,N,Active,,Sunrise Farms Inc.,Sunrise Farms Inc.,20210831,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126697,G20865+V20865,G20865,V20865,,,M.G. Waldbaum Company,,120 Tower Street ,Gaylord,MN,55334,(507) 237-4600,2021-10-16,Certification - Export; Egg Product,Michael Foods Egg Products Company,25,2507,Very Small,44.556784007958,-94.19723302787,Sibley County,27143,,N,2026-08-24,N,Active,,M.G. Waldbaum Company,Michael Foods Egg Products Company,20211016,,,,,,,,,,,,,,,,,,,,,,
126696,G21040,G21040,,,,"Iowa Cage Free, LLLP",,13780 450th Street ,Thompson,IA,50478,(641) 584-2050,2021-09-15,Egg Product,,25,2515,Small,43.420025982624,-93.71999696536,Winnebago County,19189,,N,2026-08-24,N,Active,,"Iowa Cage Free, LLLP","Iowa Cage Free, LLLP",20210915,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126700,G21395,G21395,,,,Fremont Farms of Iowa L.L.P.,,3868 110th Street ,Malcom,IA,50157,(641) 528-3447,2015-12-01,Egg Product,,25,2509,Large,41.735209003899,-92.576192986488,Poweshiek County,19157,,N,2026-08-24,N,Active,,Fremont Farms of Iowa L.L.P.,Fremont Farms of Iowa L.L.P.,20151201,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126701,G21597,G21597,,,,"Daybreak Foods, Inc.",,1959 Hwy 4 South ,Estherville,IA,51334,(712) 362-7224,2021-11-12,Egg Product,,25,2515,Small,43.363457984926,-94.811019010288,Emmet County,19063,,N,2026-08-24,N,Active,,"Daybreak Foods, Inc.","Daybreak Foods, Inc.",20211112,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126689,G21683,G21683,,,,"Deb El Food Products, LLC",,900 North Linn Avenue ,New Hampton,IA,50659,(641) 426-3447,2021-07-19,Egg Product,,25,2529,Small,43.068136001503,-92.316566972209,Chickasaw County,19037,,N,2026-08-24,N,Active,,"Deb El Food Products, LLC","Deb El Food Products, LLC",20210719,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126703,G21931,G21931,,,,"Rembrandt Enterprises, LLC",119893001,1419 480th St. ,Rembrandt,IA,50576,(712) 286-6000,2021-09-13,Egg Product,Rembrandt Foods,25,2525,Large,42.823637981351,-95.129682037574,Buena Vista County,19021,,N,2026-08-24,N,Active,,"Rembrandt Enterprises, LLC",Rembrandt Foods,20210913,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126730,G21932+V21936,G21932,V21936,,,Sonstegard of Arkansas,,915 N. Jefferson St. ,Springdale,AR,72764,(479) 872-0700,2021-12-07,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,35,3512,Small,36.193831058309,-94.12243753398,Washington County,05143,,N,2026-08-24,N,Active,,Sonstegard of Arkansas,Sonstegard of Arkansas,20211207,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6167922,G2571,G2571,,,,"Bakehouse Enterprises, LLC, DBA Boxford Bakehouse",015382449,40 Grissom Road Building 2 Unit D,Plymouth,MA,02360,(508) 923-8424,2025-01-16,Egg Product,Boxford Bakehouse,60,6029,Very Small,41.957212007585,-70.690022209049,Plymouth County,25023,,N,2026-08-24,N,Active,,"Bakehouse Enterprises, LLC, DBA Boxford Bakehouse",Boxford Bakehouse,20250116,,,,,Yes,,,,,,,Yes,2,,Alternative 3,,,,,,,
6168031,G2665+V2665,G2665,V2665,,,Profile Food Ingredients,,1151 Timber Drive ,Elgin,IL,60123,(847) 622-1700,2024-06-28,Certification - Export; Egg Product,Holton Foods.,50,5004,Small,42.057271018651,-88.307190960416,Kane County,17089,,N,2026-08-24,N,Active,,Profile Food Ingredients,Holton Foods.,20240628,,,,,Yes,,,,,,,Yes,4,,,,,,,,,
126704,G31538,G31538,,,,Center Fresh Egg Farm L.L.P.,,4135 Garfield Ave. ,Sioux Center,IA,51250,(712) 722-4265,2021-09-21,Egg Product,,25,2523,Small,43.051028998127,-96.236630033812,Sioux County,19167,,N,2026-08-24,N,Active,,Center Fresh Egg Farm L.L.P.,Center Fresh Egg Farm L.L.P.,20210921,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126720,G31540+V31540,G31540,V31540,,,"Hickman's Egg Ranch, Inc.",035864263,32425 West Salome Hwy ,Arlington,AZ,85322,(623) 872-2378,2022-02-25,Certification - Export; Egg Product,Hickmans Family Farms,05,0504,Small,33.364987309726,-112.748945342726,Maricopa County,04013,,N,2026-08-24,N,Active,,"Hickman's Egg Ranch, Inc.",Hickmans Family Farms,20220225,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
12402,G31542+V31542,G31542,V31542,,,Texas Egg Products LLC,,1808 East Hwy 90 ,Waelder,TX,78959,(830) 788-7792,2021-10-27,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,40,4030,Small,29.690947020282,-97.279553030282,Gonzales County,48177,,N,2026-08-24,N,Active,,Texas Egg Products LLC,Texas Egg Products LLC,20211027,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
12678,G31546+V31546,G31546,V31546,,,"New Day Farms, LLC",,27322 State Route 739 ,Raymond,OH,43067,(937) 358-2114,2022-04-11,Egg Product; Voluntary Egg Products Inspection/Processing,,50,5011,Small,40.393682005999,-83.452873008071,Union County,39159,,N,2026-08-24,N,Active,,"New Day Farms, LLC","New Day Farms, LLC",20220411,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
12798,G31547,G31547,,,,"New Day Farms, LLC - Farm 3",,27400 Coder-Holloway Rd. ,West Mansfield,OH,43358,,2022-04-11,Egg Product,,50,5011,Small,40.389858014132,-83.486559038743,Union County,39159,,N,2026-08-24,N,Active,,"New Day Farms, LLC - Farm 3","New Day Farms, LLC - Farm 3",20220411,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126705,G31548,G31548,,,,Michael Foods Inc.,,1260 Highway 18E ,Britt,IA,50423,(641) 843-3100,2021-04-06,Egg Product,"Michael Foods, Inc.",25,2515,Small,43.103100984871,-93.7414709822,Hancock County,19081,,N,2026-08-24,N,Active,,Michael Foods Inc.,"Michael Foods, Inc.",20210406,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126706,G31549,G31549,,,,Daybreak Foods  - Creekwood Complex,927893602,N5505 Crossman Rd. ,Lake Mills,WI,53551,(920) 648-2377,2014-04-01,,,25,2530,Small,43.04539301,-88.945133,Jefferson County,55055,,N,2026-08-24,N,Inactive,2024-03-18,Daybreak Foods  - Creekwood Complex,Daybreak Foods  - Creekwood Complex,20140401,,,,,,,,,,,,,,,,,,,,,,
126626,G31551+V31551,G31551,V31551,,,Thrive Life,,691 Automall Drive ,American Fork,UT,84003,(801) 756-9902,2010-09-14,,Thrive Foods,15,1532,Very Small,40.36362702,-111.792364,Utah County,49049,,N,2026-08-24,N,Inactive,2026-03-26,Thrive Life,Thrive Foods,20100914,,,,,,,,,,,,,,,,,,,,,,
126627,G31554,G31554,,,,"Dimension Marketing and Sales, Inc.",,386 West 9400 South ,Sandy,UT,84070,(801) 748-0808,2010-09-21,,GC Foods; Grandma's Country Foods,15,1531,Very Small,40.58118501,-111.90299,Salt Lake County,49035,,N,2026-08-24,N,Inactive,2025-01-21,"Dimension Marketing and Sales, Inc.",GC Foods,20100921,,,,,,,,,,,,,,,,,,,,,,
126707,G31556,G31556,,,,Hawkeye Pride Egg Farm LLP,,1275 Deer Ave. ,Corwith,IA,50430,(515) 583-2600,2021-04-06,Egg Product,,25,2515,Small,42.947955016488,-93.914022014436,Hancock County,19081,,N,2026-08-24,N,Active,,Hawkeye Pride Egg Farm LLP,Hawkeye Pride Egg Farm LLP,20210406,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126643,G339+V339,G339,V339,,,Oskaloosa Food Products Corp.,,543 Ninth Avenue East ,Oskaloosa,IA,52577,(641) 676-7500,2016-05-11,Egg Product,,25,2509,Large,41.287029943561,-92.639034443846,Mahaska County,19123,,N,2026-08-24,N,Active,,Oskaloosa Food Products Corp.,Oskaloosa Food Products Corp.,20160511,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6163053,G34777,G34777,,,,"Forsman Farms, Inc.",,1200 Commerce Blvd ,Howard Lake,MN,55329,(320) 286-5905,2022-02-18,Egg Product,,25,2507,Small,45.059176005916,-94.086500040296,Wright County,27171,,N,2026-08-24,N,Active,,"Forsman Farms, Inc.","Forsman Farms, Inc.",20220218,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6168995,G3680,G3680,,,,"REI Enterprises, LLC",,450 Bailey Ave.  ,New Hampton,IA,50659,(712) 286-6000,2026-04-28,Egg Product,Rembrandt Foods,25,2529,Large,43.062920990895,-92.33158298411,Chickasaw County,19037,,N,2026-08-24,N,Active,,"REI Enterprises, LLC",Rembrandt Foods,20260428,,,,,Yes,,,,,,,Yes,4,,,,,,,,,
126690,G3860,G3860,,,,"Central Storage & Warehouse Co., Inc.",,2650 Fortune Drive ,Eau Claire,WI,54703,(715) 874-2951,2014-12-11,Egg Product,,25,2522,,44.852760995204,-91.545835971621,Eau Claire County,55035,,N,2026-08-24,N,Active,,"Central Storage & Warehouse Co., Inc.","Central Storage & Warehouse Co., Inc.",20141211,,,,,,,,,,,,,,,,,,,,,,
124264,G420+V420,G420,V420,,,M.G. Waldbaum Company,007266158,105 N. Main Street ,Wakefield,NE,68784,(402) 287-2211,2019-12-04,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"M.G. Waldbaum; Michael Foods, Inc.",15,1528,Small,42.272938015998,-96.864006014943,Dixon County,31051,,N,2026-08-24,N,Active,,M.G. Waldbaum Company,M.G. Waldbaum,20191204,,,,,Yes,,,,,,,Yes,5,,Alternative 3,,,,,,,
124265,G420D+V420D,G420D,V420D,,,M.G. Waldbaum Company,007266158,101A North Oak Street ,Wakefield,NE,68784,(402) 287-2211,2019-12-04,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,15,1528,Small,42.269890984646,-96.860818041889,Dixon County,31051,,N,2026-08-24,N,Active,,M.G. Waldbaum Company,M.G. Waldbaum Company,20191204,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126716,G420G+V420G,G420G,V420G,,,Husker Pride Farms MG Waldbaum Co.,,58365 861 Road ,Wakefield,NE,68784,(402) 287-5000,2017-01-12,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Product Co.,15,1528,Very Small,42.308060832847,-96.88096409362,Dixon County,31051,,N,2026-08-24,N,Active,,Husker Pride Farms MG Waldbaum Co.,Michael Foods Egg Product Co.,20170112,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126659,G420L+V420L,G420L,V420L,,,Big Red Farms,,58535 HWY 35 ,WAKEFIELD,NE,68784,(402) 287-2211,2017-01-12,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"MG Waldbaum Co.; Michael Foods, Inc",15,1528,Small,42.29326639094,-96.819268610142,Dixon County,31051,,N,2026-08-24,N,Active,,Big Red Farms,MG Waldbaum Co.,20170112,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126624,G420M+V420M,G420M,V420M,,,Bloom-N-Egg Farm,01-807-6351,54080 Highway 84 West  P.O. Box 180,Bloomfield,NE,68718,(402) 373-6300,2019-10-15,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Products Company,15,1528,N / A,42.597327136204,-97.704513291491,Knox County,31107,,N,2026-08-24,N,Active,,Bloom-N-Egg Farm,Michael Foods Egg Products Company,20191015,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
126629,G45381+V45381,G45381,V45381,,,Cooper Farms Liquid Egg Products,079682730,2360 Wabash Rd ,Ft. Recovery,OH,45846,(419) 375-5800,2021-10-27,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5032,Small,40.418808981971,-84.775664985541,Mercer County,39107,,N,2026-08-24,N,Active,,Cooper Farms Liquid Egg Products,Cooper Farms Liquid Egg Products,20211027,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
6162063,G45702+V45702,G45702,V45702,,,Chino Valley Ranchers,,331 W. Citrus Street ,Colton,CA,92324,(909) 264-2200,2021-10-27,Certification - Export; Egg Product,Chino Valley Ranchers,05,0510,Small,34.085782996419,-117.324723013362,San Bernardino County,06071,,N,2026-08-24,N,Active,,Chino Valley Ranchers,Chino Valley Ranchers,20211027,,,,,Yes,,,,,,,Yes,5,,,,,,,,,
